rules,len,support,confidence,lift,count
"{av=AV12,bv=BV16} => {bj=BJ2}",29,0.1,1,1.351351351,10
{bv=BV16} => {bj=BJ2},21,0.14,1,1.351351351,14
{bv=BV13} => {bj=BJ1},21,0.16,0.695652174,2.675585284,16
{aj=AJ23} => {bj=BJ2},21,0.18,0.6,0.810810811,18
{bv=BV26} => {bj=BJ2},21,0.21,0.913043478,1.233842538,21
{bv=BV4} => {bj=BJ2},20,0.12,1,1.351351351,12
{av=AV7} => {bj=BJ2},20,0.32,0.914285714,1.235521236,32
{} => {bj=BJ2},14,0.74,0.74,1,74
