rules,len,support,confidence,lift,count
"{av=AV6,aj=AJ32,bv=BV1} => {bj=BJ2}",35,0.104790419,1,1.027692308,35
"{av=AV6,aj=AJ32} => {bj=BJ2}",28,0.110778443,1,1.027692308,37
"{av=AV6,aj=AJ12} => {bj=BJ2}",28,0.28742515,1,1.027692308,96
"{aj=AJ32,bv=BV1} => {bj=BJ2}",28,0.377245509,1,1.027692308,126
"{av=AV6,bv=BV1} => {bj=BJ2}",27,0.131736527,1,1.027692308,44
{av=AV10} => {bj=BJ2},21,0.101796407,1,1.027692308,34
{bv=BV13} => {bj=BJ2},21,0.107784431,0.972972973,0.99991684,36
{aj=AJ12} => {bj=BJ2},21,0.308383234,0.990384615,1.017810651,103
{aj=AJ32} => {bj=BJ2},21,0.404191617,1,1.027692308,135
{bv=BV4} => {bj=BJ2},20,0.176646707,0.936507937,0.962442002,59
{av=AV6} => {bj=BJ2},20,0.449101796,0.993377483,1.020886398,150
{bv=BV1} => {bj=BJ2},20,0.473053892,0.9875,1.014846154,158
{} => {bj=BJ2},14,0.973053892,0.973053892,1,325
